Using Hasura: http://localhost:8080/v1/graphql

== CrosschainMessage: Match Rate per Protocol per Route (sorted by % matched) ==
- layerzero:base->optimism: total=5493, matched=5493 (100.00%)
- layerzero:optimism->base: total=6192, matched=6192 (100.00%)
- across:linea->base: total=3092, matched=3092 (100.00%)
- layerzero:ethereum->optimism: total=429, matched=429 (100.00%)
- layerzero:optimism->ethereum: total=989, matched=989 (100.00%)
- across:base->arbitrum: total=9194, matched=9194 (100.00%)
- layerzero:ethereum->arbitrum: total=2392, matched=2392 (100.00%)
- across:optimism->ethereum: total=1091, matched=1091 (100.00%)
- across:ethereum->linea: total=1099, matched=1099 (100.00%)
- layerzero:arbitrum->ethereum: total=1875, matched=1875 (100.00%)
- layerzero:linea->base: total=2566, matched=2566 (100.00%)
- across:optimism->linea: total=856, matched=856 (100.00%)
- across:linea->optimism: total=623, matched=623 (100.00%)
- layerzero:optimism->linea: total=802, matched=802 (100.00%)
- layerzero:scroll->ethereum: total=217, matched=217 (100.00%)
- across:optimism->base: total=6180, matched=6180 (100.00%)
- layerzero:scroll->optimism: total=193, matched=193 (100.00%)
- layerzero:linea->ethereum: total=258, matched=258 (100.00%)
- layerzero:linea->optimism: total=298, matched=298 (100.00%)
- across:linea->ethereum: total=759, matched=759 (100.00%)
- across:optimism->zksync: total=196, matched=196 (100.00%)
- across:zksync->optimism: total=330, matched=330 (100.00%)
- layerzero:scroll->base: total=818, matched=818 (100.00%)
- across:zksync->arbitrum: total=919, matched=919 (100.00%)
- across:arbitrum->zksync: total=224, matched=224 (100.00%)
- across:zksync->ethereum: total=690, matched=690 (100.00%)
- across:ethereum->zksync: total=277, matched=277 (100.00%)
- across:zksync->base: total=1278, matched=1278 (100.00%)
- layerzero:ethereum->zksync: total=30, matched=30 (100.00%)
- layerzero:zksync->base: total=315, matched=315 (100.00%)
- across:scroll->zksync: total=16, matched=16 (100.00%)
- across:zksync->scroll: total=21, matched=21 (100.00%)
- across:base->zksync: total=228, matched=228 (100.00%)
- across:base->linea: total=2214, matched=2214 (100.00%)
- across:zksync->linea: total=409, matched=409 (100.00%)
- across:linea->zksync: total=176, matched=176 (100.00%)
- layerzero:zksync->ethereum: total=22, matched=22 (100.00%)
- layerzero:ink->base: total=274, matched=274 (100.00%)
- layerzero:ethereum->scroll: total=85, matched=85 (100.00%)
- layerzero:base->scroll: total=276, matched=276 (100.00%)
- layerzero:base->zksync: total=45, matched=45 (100.00%)
- layerzero:optimism->ink: total=215, matched=215 (100.00%)
- across:optimism->scroll: total=270, matched=270 (100.00%)
- across:scroll->optimism: total=227, matched=227 (100.00%)
- layerzero:ink->ethereum: total=207, matched=207 (100.00%)
- layerzero:base->ink: total=203, matched=203 (100.00%)
- across:ink->base: total=751, matched=751 (100.00%)
- across:ink->arbitrum: total=157, matched=157 (100.00%)
- across:ethereum->ink: total=105, matched=105 (100.00%)
- across:ink->zksync: total=6, matched=6 (100.00%)
- layerzero:arbitrum->ink: total=271, matched=271 (100.00%)
- across:base->ink: total=483, matched=483 (100.00%)
- layerzero:ink->arbitrum: total=309, matched=309 (100.00%)
- layerzero:ethereum->ink: total=101, matched=101 (100.00%)
- layerzero:linea->arbitrum: total=958, matched=958 (100.00%)
- across:ink->ethereum: total=100, matched=100 (100.00%)
- across:arbitrum->ink: total=76, matched=76 (100.00%)
- across:scroll->ink: total=1, matched=1 (100.00%)
- layerzero:optimism->scroll: total=53, matched=53 (100.00%)
- layerzero:scroll->linea: total=240, matched=240 (100.00%)
- across:linea->scroll: total=102, matched=102 (100.00%)
- across:scroll->linea: total=246, matched=246 (100.00%)
- across:ink->linea: total=74, matched=74 (100.00%)
- across:linea->ink: total=68, matched=68 (100.00%)
- layerzero:linea->scroll: total=46, matched=46 (100.00%)
- layerzero:scroll->arbitrum: total=317, matched=317 (100.00%)
- across:arbitrum->scroll: total=176, matched=176 (100.00%)
- across:scroll->arbitrum: total=448, matched=448 (100.00%)
- across:base->scroll: total=167, matched=167 (100.00%)
- layerzero:arbitrum->scroll: total=111, matched=111 (100.00%)
- across:zksync->ink: total=6, matched=6 (100.00%)
- across:ethereum->scroll: total=29, matched=29 (100.00%)
- layerzero:optimism->optimism: total=8, matched=8 (100.00%)
- layerzero:ink->scroll: total=1, matched=1 (100.00%)
- across:ink->scroll: total=1, matched=1 (100.00%)
- layerzero:zksync->linea: total=1, matched=1 (100.00%)
- layerzero:base->base: total=4, matched=4 (100.00%)
- layerzero:arbitrum->base: total=10409, matched=10408 (99.99%)
- across:ethereum->arbitrum: total=5691, matched=5690 (99.98%)
- across:ethereum->base: total=24631, matched=24626 (99.98%)
- layerzero:base->linea: total=3539, matched=3538 (99.97%)
- across:base->optimism: total=3498, matched=3497 (99.97%)
- across:arbitrum->base: total=8954, matched=8951 (99.97%)
- layerzero:optimism->arbitrum: total=2720, matched=2719 (99.96%)
- across:base->ethereum: total=20502, matched=20494 (99.96%)
- layerzero:base->arbitrum: total=7529, matched=7526 (99.96%)
- layerzero:base->ethereum: total=2357, matched=2356 (99.96%)
